,Team,Opponent Team,Date,Site,Incident,Time,VAR used,Season,Type
159,Watford,Burnley,Nov. 23,H,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,80th minute,AGAINST,2019-2020,PENALTY
160,Watford,Liverpool,Dec. 14,A,Sadio Mane goal ruled out for offside,51st minute,FOR,2019-2020,OFFSIDE
161,Watford,Wolves,Jan. 1,H,Christian Kabasele sent off for professional foul after originally being booked,68th minute,AGAINST,2019-2020,SENT OFF
162,Watford,Man United,Feb. 23,A,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,AGAINST,2019-2020,HANDBALL
163,Watford,Arsenal,July 26,A,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,2nd minute,AGAINST,2019-2020,PENALTY
164,Aston Villa,Burnley,Sept. 28,H,"Goal for John McGinn ruled out on review, Conor Hourihane offside in build-up",25th minute,AGAINST,2019-2020,OFFSIDE
165,Aston Villa,Brighton,Oct. 19,H,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,AGAINST,2019-2020,FOUL
166,Aston Villa,Sheffield United,Dec. 14,A,Penalty awarded (missed by Jack Grealish) for handball by John Egan,76th minute,FOR,2019-2020,PENALTY
167,Aston Villa,Burnley,Jan. 1,A,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",11th minute,AGAINST,2019-2020,OFFSIDE
168,Aston Villa,Tottenham,Feb. 16,H,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,45th minute,AGAINST,2019-2020,PENALTY
169,Aston Villa,Crystal Palace,July 12,H,Mamadou Sakho goal ruled out for handball,7th minute,FOR,2019-2020,HANDBALL
170,Aston Villa,Crystal Palace,July 12,H,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",47th minute,AGAINST,2019-2020,PENALTY
171,West Ham,Man City,Aug. 10,H,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,53rd minute,FOR,2019-2020,OFFSIDE
172,West Ham,Man City,Aug. 10,H,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,86th minute,AGAINST,2019-2020,PENALTY
173,West Ham,Brighton,Aug. 17,A,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,FOR,2019-2020,OFFSIDE
174,West Ham,AFC Bournemouth,Sept. 28,A,"Josh King goal, originally ruled out for offside, cleared by the VAR",17th minute,AGAINST,2019-2020,OFFSIDE
175,West Ham,Crystal Palace,Oct. 5,H,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,AGAINST,2019-2020,OFFSIDE
176,West Ham,Burnley,Nov. 9,A,Chris Wood goal disallowed for offside,36th minute,FOR,2019-2020,OFFSIDE
177,West Ham,Tottenham,Nov. 23,H,Declan Rice goal disallowed for offside,89th minute,AGAINST,2019-2020,OFFSIDE
178,West Ham,Chelsea,Nov. 30,A,Goal for Michail Antonio ruled out for handball,67th minute,AGAINST,2019-2020,HANDBALL
179,West Ham,Southampton,Dec. 14,A,Goal for Michail Antonio ruled out for handball,52nd minute,AGAINST,2019-2020,HANDBALL
180,West Ham,Bournemouth,Jan. 1,H,Aaron Cresswell red card downgraded to yellow,76th minute,FOR,2019-2020,CARD
181,West Ham,Sheffield United,Jan. 10,A,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,90th minute,AGAINST,2019-2020,HANDBALL
182,West Ham,Brighton & Hove Albion,Feb. 1,H,Goal for Glenn Murray allowed after incorrect handball,79th minute,AGAINST,2019-2020,HANDBALL
183,West Ham,Arsenal,March 7,A,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,78th minute,AGAINST,2019-2020,OFFSIDE
184,West Ham,Tottenham,June 23,A,Son Heung-Min goal disallowed for offside,45th minute,FOR,2019-2020,OFFSIDE
185,West Ham,Chelsea,July 1,H,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,AGAINST,2019-2020,OFFSIDE
186,West Ham,Man United,July 22,A,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),45th minute,FOR,2019-2020,PENALTY
187,Sheffield United,Southampton,Sept. 14,H,Oliver McBurnie's goal disallowed for offside,52nd minute,AGAINST,2019-2020,OFFSIDE
188,Sheffield United,Tottenham,Nov. 9,A,Goal for David McGoldrick disallowed for offside in build-up by John Lundstram,60th minute,AGAINST,2019-2020,OFFSIDE
189,Sheffield United,Newcastle,Dec. 5,H,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",70th minute,AGAINST,2019-2020,OFFSIDE
190,Sheffield United,Norwich,Dec. 8,A,Red card for Chris Basham rescinded,74th minute,FOR,2019-2020,CARD
191,Sheffield United,Aston Villa,Dec. 14,H,Penalty awarded (missed by Jack Grealish) for handball by John Egan,76th minute,AGAINST,2019-2020,PENALTY
192,Sheffield United,Brighton,Dec. 21,A,John Egan goal ruled out for handball,8th minute,AGAINST,2019-2020,HANDBALL
193,Sheffield United,Brighton,Dec. 21,A,Jack O'Connell goal disallowed for offside,54th minute,AGAINST,2019-2020,OFFSIDE
194,Sheffield United,Manchester City,Dec. 29,A,Goal for Lys Mousset ruled out for offside,29th minute,AGAINST,2019-2020,OFFSIDE
195,Sheffield United,West Ham,Jan. 10,H,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,90th minute,FOR,2019-2020,HANDBALL
196,Sheffield United,Crystal Palace,Feb. 1,A,Red card for Joel Ward rescinded,74th minute,AGAINST,2019-2020,CARD
197,Sheffield United,Tottenham,July 2,H,Goal for Harry Kane ruled out for handball in the build-up by Lucas Moura,32nd minute,FOR,2019-2020,HANDBALL
198,Wolves,Leicester,Aug. 11,A,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,51st minute,AGAINST,2019-2020,HANDBALL
199,Wolves,Southampton,Oct. 19,H,Raul Jimenez goal ruled out for offside against Patrick Cutrone,42nd minute,AGAINST,2019-2020,OFFSIDE
200,Wolves,Man City,Dec. 27,H,Penalty awarded (missed by Raheem Sterling) for foul on Riyad Mahrez by Leander Dendoncker,21st minute,AGAINST,2019-2020,PENALTY
201,Wolves,Man City,Dec. 27,H,Missed City penalty retaken due to encroachment by Connor Coady . Retake scored by on rebound by Raheem Sterling,25th minute,AGAINST,2019-2020,PENALTY
202,Wolves,Liverpool,Dec. 29,A,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,42nd minute,AGAINST,2019-2020,HANDBALL
203,Wolves,Liverpool,Dec. 29,A,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,45th minute,AGAINST,2019-2020,OFFSIDE
204,Wolves,Watford,Jan. 1,A,Christian Kabasele sent off for professional foul after originally being booked,68th minute,FOR,2019-2020,SENT OFF
205,Wolves,Southampton,Jan. 18,A,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,65th minute,FOR,2019-2020,PENALTY
206,Wolves,Leicester,Feb. 14,A,Wolves goal for Willy Boly disallowed for offside in build-up by Pedro Neto,44th minute,AGAINST,2019-2020,OFFSIDE
207,Norwich City,Chelsea,Aug. 24,H,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,77th minute,FOR,2019-2020,FOUL
208,Norwich City,Man United,Oct. 27,H,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,25th minute,AGAINST,2019-2020,PENALTY
209,Norwich City,Man United,Oct. 27,H,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,41st minute,AGAINST,2019-2020,PENALTY
210,Norwich City,Arsenal,Dec. 1,H,Pierre-Emerick Aubameyang missed penalty retaken (and scored) following encroachment by a defender,29th minute,AGAINST,2019-2020,PENALTY
211,Norwich City,Sheffield United,Dec. 8,H,Red card for Chris Basham rescinded,74th minute,AGAINST,2019-2020,CARD
212,Norwich City,Tottenham,Dec. 28,H,Teemu Pukki goal ruled out for offside,33rd minute,AGAINST,2019-2020,OFFSIDE
213,Norwich City,Crystal Palace,Jan. 1,H,Connor Wickham goal awarded after originally being ruled out for offside,85th minute,AGAINST,2019-2020,OFFSIDE
214,Norwich City,Bournemouth,Jan. 18,H,Red card for Ben Godfrey for foul on Callum Wilson,76th minute,AGAINST,2019-2020,FOUL
215,Norwich City,Leicester,Feb. 28,H,Goal for Kelechi Iheanacho disallowed for handball,49th minute,FOR,2019-2020,HANDBALL
216,Norwich City,Burnley,July 18,H,Red card for Emiliano Buendia for an elbow on Ashley Westwood,33rd minute,AGAINST,2019-2020,CARD
217,Norwich City,Man City,July 26,A,Goal for Onel Hernandez ruled out for offside,7th minute,AGAINST,2019-2020,OFFSIDE
218,Burnley,Man City,Nov. 28,A,Bailey Peacock-Farrell own goal disallowed for offside in the build-up against Gabriel Jesus,77th minute,FOR,2020-2021,OFFSIDE
219,Burnley,Arsenal,Dec. 13,A,Granit Xhaka sent off for violent conduct on Ashley Westwood,58th minute,FOR,2020-2021,SENT OFF
220,Burnley,Man United,Jan. 12,H,"Man United free-kick and Robbie Brady red-card review cancelled for foul in the build-up by Luke Shaw, who was booked",,NEUTRAL,2020-2021,FOUL
221,Burnley,West Brom,Feb. 20,H,Semi Ajayi sent off for handball and denying an obvious goal-scoring opportunity,28th minute,FOR,2020-2021,HANDBALL
222,Burnley,Arsenal,March 6,H,Penalty and red card for handball against Erik Pieters cancelled,85th minute,FOR,2020-2021,PENALTY
223,Burnley,Southampton,April 4,A,Penalty awarded (scored by Chris Wood) for foul on Erik Pieters by Kyle Walker-Peters,8th minute,FOR,2020-2021,PENALTY
224,Burnley,Wolves,April 25,A,Matej Vydra goal disallowed for offside,50th minute,AGAINST,2020-2021,OFFSIDE
225,Everton,West Brom,Sept. 19,H,Dominic Calvert-Lewin goal awarded after originally ruled out for offside,31st minute,FOR,2020-2021,OFFSIDE
226,Everton,Crystal Palace,Sept. 26,A,Penalty awarded (scored by Richarlison) for handball by Joel Ward,41st minute,FOR,2020-2021,PENALTY
227,Everton,Liverpool,Oct. 17,H,Jordan Henderson goal ruled out for offside against Sadio Mane,90th minute,FOR,2020-2021,OFFSIDE
228,Everton,Chelsea,Dec. 12,H,Penalty cancelled for offside against Dominic Calvert-Lewin,63rd minute,AGAINST,2020-2021,PENALTY
229,Everton,Leicester,Dec. 16,A,Penalty cancelled for challenge on Ayoze Perez by Andre Gomes,81st minute,FOR,2020-2021,PENALTY
230,Everton,Liverpool,Feb. 20,A,Penalty overturn review rejected after Trent Alexander-Arnold had brought down Dominic Calvert-Lewin,81st minute,FOR,2020-2021,PENALTY
231,Everton,Southampton,March 1,H,Michael Keane goal disallowed for offside in the build-up against Mason Holgate,25th minute,AGAINST,2020-2021,OFFSIDE
232,Everton,Arsenal,April 23,A,Arsenal penalty rescinded for offside in the build-up against Nicolas Pepe,51st minute,FOR,2020-2021,PENALTY
233,Chelsea,Liverpool,Sept. 20,H,Andreas Christensen sent off for denying a goal-scoring opportunity when bringing down Sadio Mane,45th minute,AGAINST,2020-2021,SENT OFF
234,Chelsea,Everton,Dec. 12,A,Penalty cancelled for offside against Dominic Calvert-Lewin,63rd minute,FOR,2020-2021,PENALTY
235,Chelsea,Wolves,Dec. 15,A,Penalty cancelled for challenge on Pedro Neto by Reece James,81st minute,FOR,2020-2021,PENALTY
236,Chelsea,Arsenal,Dec. 26,A,Tammy Abraham goal awarded after incorrect offside,85th minute,FOR,2020-2021,OFFSIDE
237,Chelsea,Leicester,Jan. 19,A,Penalty cancelled as Jonny Evans' foul on Christian Pulisic was outside the area,39th minute,AGAINST,2020-2021,PENALTY
238,Chelsea,Sheffield United,Feb. 7,A,Penalty for Ben Chilwell's challenge on Chris Basham cancelled for offside,11th minute,FOR,2020-2021,PENALTY
239,Chelsea,Sheffield United,Feb. 7,A,Penalty awarded (scored by Jorginho) for Aaron Ramsdale's challenge on Timo Werner,58th minute,FOR,2020-2021,PENALTY
240,Chelsea,Man United,Feb. 28,H,Penalty review rejected for handball against Callum Hudson-Odoi,15th minute,FOR,2020-2021,PENALTY
241,Chelsea,Liverpool,March 4,A,Timo Werner goal disallowed for offside,24th minute,AGAINST,2020-2021,OFFSIDE
242,Chelsea,West Ham,April 24,A,Fabian Balbuena yellow card upgraded to red for foul on Ben Chilwell,79th minute,FOR,2020-2021,FOUL
243,Chelsea,Arsenal,May 12,H,Christian Pulisic goal disallowed for offside,60th minute,AGAINST,2020-2021,OFFSIDE
244,Chelsea,Leicester,May 18,H,Timo Werner goal disallowed for handball,35th minute,AGAINST,2020-2021,HANDBALL
245,Chelsea,Leicester,May 18,H,Penalty awarded (scored by Jorginho) after Timo Werner adjudged to have been fouled inside the area,65th minute,FOR,2020-2021,PENALTY
246,Fulham,Aston Villa,Sept. 28,H,Bobby Decordova-Reid goal disallowed for foul in the build-up by Aleksandar Mitrovic,56th minute,AGAINST,2020-2021,FOUL
247,Fulham,Sheffield United,Oct. 18,A,Penalty awarded (scored by Billy Sharp) for foul on Jack Robinson by Aleksandar Mitrovic,85th minute,AGAINST,2020-2021,PENALTY
248,Fulham,Crystal Palace,Oct. 24,H,Aboubakar Kamara sent off for foul on Eberechi Eze,86th minute,AGAINST,2020-2021,SENT OFF
249,Fulham,West Ham,Nov. 7,A,Penalty awarded (missed by Ademola Lookman) for foul on Tom Cairney by Saïd Benrahma,95th minute,FOR,2020-2021,PENALTY
250,Fulham,Leicester,Nov. 30,A,Penalty awarded (scored by Ivan Cavaleiro) for foul on Bobby De Cordova-Reid by Christian Fuchs,35th minute,FOR,2020-2021,PENALTY
251,Fulham,Liverpool,Dec. 13,H,Penalty review rejected by referee Andre Marriner following Fabinho challenge on Ivan Cavaleiro,16th minute,AGAINST,2020-2021,PENALTY
252,Fulham,Brighton,Dec. 16,H,Adam Lallana goal disallowed for handball in the build-up by Danny Welbeck,49th minute,FOR,2020-2021,HANDBALL
253,Fulham,Newcastle,Dec. 19,A,Joachim Andersen sent off for denying a goal-scoring opportunity following challenge on Callum Wilson,62nd minute,AGAINST,2020-2021,SENT OFF
254,Fulham,Southampton,Dec. 26,H,Goal (scored by Theo Walcott) disallowed for offside against Che Adams,85th minute,FOR,2020-2021,OFFSIDE
255,Fulham,West Ham,Feb. 6,H,Tomas Soucek sent off for elbow on Aleksandar Mitrovic,90th minute,FOR,2020-2021,SENT OFF
256,Fulham,Tottenham,March 4,H,Josh Maja goal disallowed for handball in the build-up by Mario Lemina,64th minute,AGAINST,2020-2021,HANDBALL
257,Fulham,Leeds,March 19,H,Luke Ayling goal disallowed for offside against Tyler Roberts in the build-up,8th minute,FOR,2020-2021,OFFSIDE
258,Fulham,Aston Villa,April 4,A,Penalty cancelled. Mario Lemina adjudged not to have fouled Ollie Watkins,45th minute,FOR,2020-2021,PENALTY
259,Fulham,Wolves,April 9,H,Willian Jose goal disallowed for offside in the build-up against Daniel Podence,45th minute,FOR,2020-2021,OFFSIDE
260,Fulham,Arsenal,April 18,A,Dani Ceballos goal disallowed for offside in the build-up against Bukayo Saka,40th minute,FOR,2020-2021,OFFSIDE
261,Sheffield United,Fulham,Oct. 18,H,Penalty awarded (scored by Billy Sharp) for foul on Jack Robinson by Aleksandar Mitrovic,85th minute,FOR,2020-2021,PENALTY
262,Sheffield United,Liverpool,Oct. 24,A,Penalty awarded (scored by Sander Berge) for foul on Oliver McBurnie by Fabinho. Factual decision on where foul took place,10th minute,FOR,2020-2021,PENALTY
263,Sheffield United,Liverpool,Oct. 24,A,Mohamed Salah goal disallowed for offside,62nd minute,FOR,2020-2021,OFFSIDE
264,Sheffield United,Brighton,Dec. 20,A,John Lundstram sent off for challenge on Joel Veltman,40th minute,AGAINST,2020-2021,SENT OFF
265,Sheffield United,Newcastle,Jan. 12,H,Penalty awarded (scored by Billy Sharp) for handball by Federico Fernandez,73rd minute,FOR,2020-2021,PENALTY
266,Sheffield United,Chelsea,Feb. 7,H,Penalty for Ben Chilwell's challenge on Chris Basham cancelled for offside,11th minute,AGAINST,2020-2021,PENALTY
267,Sheffield United,Chelsea,Feb. 7,H,Penalty awarded (scored by Jorginho) for Aaron Ramsdale's challenge on Timo Werner,58th minute,AGAINST,2020-2021,PENALTY
268,Sheffield United,West Ham,Feb. 15,A,Penalty cancelled after Craig Dawson ruled offside before being fouled by Edna Stevens,5th minute,FOR,2020-2021,PENALTY
269,Sheffield United,Aston Villa,March 3,H,Phil Jagielka sent off for professional foul on Anwar El Ghazi,57th minute,AGAINST,2020-2021,SENT OFF
270,Sheffield United,Brighton,April 24,H,Jakub Moder goal disallowed for offside,56th minute,FOR,2020-2021,OFFSIDE
271,Sheffield United,Tottenham,May 2,A,Son Heung-Min goal disallowed for offside,50th minute,FOR,2020-2021,OFFSIDE
272,Aston Villa,Fulham,Sept. 28,A,Bobby Decordova-Reid goal disallowed for foul in the build-up by Aleksandar Mitrovic,56th minute,FOR,2020-2021,FOUL
273,Aston Villa,Southampton,Nov. 1,H,Ezri Konsa own goal disallowed for offside against Che Adams,3rd minute,FOR,2020-2021,OFFSIDE
274,Aston Villa,Arsenal,Nov. 8,A,John McGinn goal disallowed for offside against Ross Barkley,1st minute,AGAINST,2020-2021,OFFSIDE
275,Aston Villa,Brighton,Nov. 21,H,Penalty rescinded after Solly March adjudged not to have fouled Trezeguet,92nd minute,AGAINST,2020-2021,PENALTY
276,Aston Villa,West Ham,Nov. 30,A,Ollie Watkins goal disallowed for offside,92nd minute,AGAINST,2020-2021,OFFSIDE
277,Aston Villa,West Brom,Dec. 20,A,Jake Livermore sent off for high tackle on Jack Grealish,36th minute,FOR,2020-2021,SENT OFF
278,Aston Villa,West Brom,Dec. 20,A,Ollie Watkins goal ruled out for offside,72nd minute,AGAINST,2020-2021,OFFSIDE
279,Aston Villa,Crystal Palace,Dec. 26,H,Penalty review rejected by referee Anthony Taylor following Matty Cash challenge on Patrick van Aanholt,24th minute,FOR,2020-2021,PENALTY
280,Aston Villa,Sheffield United,March 3,A,Phil Jagielka sent off for professional foul on Anwar El Ghazi,57th minute,FOR,2020-2021,SENT OFF
281,Aston Villa,Fulham,April 4,H,Penalty cancelled. Mario Lemina adjudged not to have fouled Ollie Watkins,45th minute,AGAINST,2020-2021,PENALTY
282,Aston Villa,Liverpool,April 10,A,Roberto Firmino goal ruled out for offside against Diogo Jota in the build-up,45th minute,FOR,2020-2021,OFFSIDE
283,Aston Villa,Man City,April 21,H,John Stones yellow changed to red for high challenge on Jacob Ramsey,42nd minute,FOR,2020-2021,CARD
284,Leicester City ,West Ham,Oct. 4,H,Jamie Vardy offside in build-up to Harvey Barnes goal,90th minute,AGAINST,2020-2021,OFFSIDE
285,Leicester City ,Leeds,Nov. 2,A,Penalty awarded (scored by Youri Tielemans) for foul on James Maddison by Mateusz Klich,88th minute,FOR,2020-2021,PENALTY
286,Leicester City ,Wolves,Nov. 8,H,Penalty awarded (scored by Jamie Vardy) for handball by Max Kilman,14th minute,FOR,2020-2021,PENALTY
287,Leicester City ,Fulham,Nov. 30,H,Penalty awarded (scored by Ivan Cavaleiro) for foul on Bobby De Cordova-Reid by Christian Fuchs,35th minute,AGAINST,2020-2021,PENALTY
288,Leicester City ,Everton,Dec. 16,H,Penalty cancelled for challenge on Ayoze Perez by Andre Gomes,81st minute,AGAINST,2020-2021,PENALTY
289,Leicester City ,Tottenham,Dec. 20,A,Penalty awarded (scored by Jamie Vardy) after foul on Wesley Fofana by Serge Aurier,45th minute,FOR,2020-2021,PENALTY
290,Leicester City ,Tottenham,Dec. 20,A,James Maddison goal ruled out for offside,47th minute,AGAINST,2020-2021,OFFSIDE
291,Leicester City ,Chelsea,Jan. 19,H,Penalty cancelled as Jonny Evans' foul on Christian Pulisic was outside the area,39th minute,FOR,2020-2021,PENALTY
292,Leicester City ,Liverpool,Feb. 13,H,Penalty cancelled after Thiago's foul on Harvey Barnes adjudged to be outside the area,76th minute,AGAINST,2020-2021,PENALTY
293,Leicester City ,Liverpool,Feb. 13,H,James Maddison goal allowed after incorrect offside against Daniel Amartey,79th minute,FOR,2020-2021,OFFSIDE
294,Leicester City ,Arsenal,Feb. 28,H,Penalty cancelled as foul on Nicolas Pepe by Wilfred Ndidi deemed outside the area,14th minute,FOR,2020-2021,PENALTY
295,Leicester City ,Arsenal,Feb. 28,H,Penalty awarded (scored by Alexandre Lacazette) for handball against Wilfred Ndidi,45th minute,AGAINST,2020-2021,PENALTY
296,Leicester City ,West Ham,April 11,A,Issa Diop goal ruled out for offside,54th minute,FOR,2020-2021,OFFSIDE
297,Leicester City ,Chelsea,May 18,A,Timo Werner goal disallowed for handball,35th minute,FOR,2020-2021,HANDBALL
298,Leicester City ,Chelsea,May 18,A,Penalty awarded (scored by Jorginho) after Timo Werner adjudged to have been fouled inside the area,65th minute,AGAINST,2020-2021,PENALTY
299,Brighton & Hove Albion,Tottenham,May 23,H,Penalty awarded (scored by Jamie Vardy) for foul on Vardy by Toby Alderweireld,16th minute,FOR,2020-2021,PENALTY
300,Brighton & Hove Albion,Newcastle,Sept. 20,A,Neal Maupay goal allowed after being ruled out for offside,8th minute,FOR,2020-2021,OFFSIDE
301,Brighton & Hove Albion,Newcastle,Sept. 20,A,Yves Bissouma sent off for dangerous challenge on Jamal Lewis,86th minute,AGAINST,2020-2021,SENT OFF
302,Brighton & Hove Albion,Man United,Sept. 26,H,Penalty cancelled for challenge on Aaron Connolly by Paul Pogba,48th minute,AGAINST,2020-2021,PENALTY
303,Brighton & Hove Albion,Man United,Sept. 26,H,Marcus Rashford goal disallowed for offside,52nd minute,FOR,2020-2021,OFFSIDE
304,Brighton & Hove Albion,Man United,Sept. 26,H,Penalty awarded (scored by Bruno Fernandes) for handball against Neal Maupay,90th minute,AGAINST,2020-2021,PENALTY
305,Brighton & Hove Albion,Tottenham,Nov. 1,A,Penalty awarded (scored by Harry Kane) after foul on Kane by Adam Lallana adjudged to be inside the area,11th minute,AGAINST,2020-2021,PENALTY
306,Brighton & Hove Albion,Tottenham,Nov. 1,A,Goal for Tariq Lamptey stands after Graham Scott rejects VAR review for foul in the build-up by Solly March on Pierre-Emile Hojbjerg,56th minute,FOR,2020-2021,FOUL
307,Brighton & Hove Albion,Aston Villa,Nov. 21,A,Penalty rescinded after Solly March adjudged not to have fouled Trezeguet,92nd minute,FOR,2020-2021,PENALTY
308,Brighton & Hove Albion,Liverpool,Nov. 28,H,Mohamed Salah goal disallowed for offside,35th minute,FOR,2020-2021,OFFSIDE
309,Brighton & Hove Albion,Liverpool,Nov. 28,H,Offside against Sadio Mane after scoring,85th minute,FOR,2020-2021,OFFSIDE
310,Brighton & Hove Albion,Liverpool,Nov. 28,H,Penalty awarded (scored by Pascal Gross) for a foul on Danny Welbeck by Andrew Robertson,92nd minute,FOR,2020-2021,PENALTY
311,Brighton & Hove Albion,Southampton,Dec. 7,H,Penalty conceded (scored by Danny Ings) after Solly March adjudged to have fouled Kyle Walker-Peters inside the area,80th minute,AGAINST,2020-2021,PENALTY
312,Brighton & Hove Albion,Fulham,Dec. 16,A,Adam Lallana goal disallowed for handball in the build-up by Danny Welbeck,49th minute,AGAINST,2020-2021,HANDBALL
313,Brighton & Hove Albion,Sheffield United,Dec. 20,H,John Lundstram sent off for challenge on Joel Veltman,40th minute,FOR,2020-2021,SENT OFF
314,Brighton & Hove Albion,West Brom,Feb. 27,A,Penalty conceded (missed by Pascal Gross) for handball against Okay Yokuslu,17th minute,FOR,2020-2021,PENALTY
